Customer ID,Recency,Frequency,Monetary,Maximum,Minimum,Median,R,F,M,RFM_Segment_Concat,RFM_Score,RFM_Level
12374,57,50,2246.2900000000004,200.0,10.2,39.5,2,3,4,234,9.0,Can't Loose Them
12376,25,13,503.15,100.80000000000001,10.2,27.0,3,1,2,312,6.0,Potential
12377,17,75,1798.1999999999996,80.0,5.04,20.0,4,3,4,434,11.0,Can't Loose Them
12378,198,82,1407.7000000000003,39.95,5.04,15.75,1,3,3,133,7.0,Loyal
12379,58,41,767.9799999999999,45.0,8.5,16.5,2,2,3,223,7.0,Loyal
12380,17,178,5167.439999999999,1508.65,-1508.65,19.799999999999997,4,4,4,444,12.0,Can't Loose Them
12382,318,1,-18.38,-18.38,-18.38,-18.38,1,1,1,111,3.0,Require Activation
12385,15,66,1923.3999999999999,270.0,-15.0,19.5,4,3,4,434,11.0,Can't Loose Them
12386,2,8,258.90000000000003,71.4,17.700000000000003,28.5,4,1,1,411,6.0,Potential
12387,51,9,143.94,33.9,10.08,15.0,3,1,1,311,5.0,Promising
12388,81,46,1120.45,70.80000000000001,2.52,17.0,2,3,3,233,8.0,Champions
12389,38,49,1433.33,204.0,5.04,19.5,3,3,3,333,9.0,Can't Loose Them
12391,100,187,2286.9299999999994,151.20000000000002,-7.5,10.2,2,4,4,244,10.0,Can't Loose Them
12392,227,7,234.75000000000003,70.80000000000001,14.850000000000001,19.9,1,1,1,111,3.0,Require Activation
12393,18,48,794.1500000000003,49.5,-8.5,15.0,3,3,3,333,9.0,Can't Loose Them
12395,7,98,2048.6400000000003,90.0,5.04,17.85,4,3,4,434,11.0,Can't Loose Them
12396,310,65,931.4300000000006,19.9,6.8,15.0,1,3,3,133,7.0,Loyal
12399,21,51,853.6500000000001,46.800000000000004,3.3600000000000003,15.0,3,3,3,333,9.0,Can't Loose Them
12400,50,11,205.25,29.700000000000003,9.899999999999999,17.700000000000003,3,1,1,311,5.0,Promising
12402,28,60,1018.55,35.400000000000006,-12.75,18.6,3,3,3,333,9.0,Can't Loose Them
12403,157,4,591.6600000000001,244.08,36.0,155.79000000000002,1,1,2,112,4.0,Needs Attention
12404,318,1,63.24,63.24,63.24,63.24,1,1,1,111,3.0,Require Activation
12406,24,62,2791.46,290.0,-183.60000000000002,39.599999999999994,3,3,4,334,10.0,Can't Loose Them
12408,15,57,1437.07,139.8,-12.6,19.799999999999997,4,3,3,433,10.0,Can't Loose Them
12409,56,158,12033.539999999997,244.79999999999998,-122.39999999999999,70.80000000000001,2,4,4,244,10.0,Can't Loose Them
12410,138,14,320.38,80.0,10.08,17.35,2,1,2,212,5.0,Promising
12411,45,22,346.9,59.699999999999996,8.5,12.675,3,2,2,322,7.0,Loyal
12412,38,70,1354.1499999999999,88.5,-5.9,15.059999999999999,3,3,3,333,9.0,Can't Loose Them
12413,38,13,241.34999999999997,56.0,8.95,15.9,3,1,1,311,5.0,Promising
12414,99,19,130.0,130.0,-130.0,7.56,2,2,1,221,5.0,Promising
12415,11,212,19543.83999999999,876.0,5.04,48.6,4,4,4,444,12.0,Can't Loose Them
12416,292,11,202.56,25.200000000000003,6.6000000000000005,20.28,1,1,1,111,3.0,Require Activation
12417,37,183,3129.4099999999994,60.0,-10.0,15.3,3,4,4,344,11.0,Can't Loose Them
12418,49,69,1348.3700000000001,99.0,-4.25,15.0,3,3,3,333,9.0,Can't Loose Them
12419,21,25,503.01,84.0,4.5600000000000005,15.0,3,2,2,322,7.0,Loyal
12421,51,21,286.56,28.0,-5.0,15.0,3,2,2,322,7.0,Loyal
12422,30,137,3315.789999999998,662.25,-662.25,17.0,3,4,4,344,11.0,Can't Loose Them
12423,23,40,763.08,60.0,8.5,17.55,3,2,3,323,8.0,Champions
12424,58,67,1528.8200000000004,91.80000000000001,-25.5,19.799999999999997,2,3,3,233,8.0,Champions
12425,66,59,903.6100000000001,53.1,-15.600000000000001,15.299999999999999,2,3,3,233,8.0,Champions
12426,282,52,728.6800000000002,72.0,-15.9,14.850000000000001,1,3,3,133,7.0,Loyal
12427,7,10,303.50000000000006,68.0,12.600000000000001,19.799999999999997,4,1,2,412,7.0,Loyal
12429,1,77,3685.11,252.0,-50.4,30.599999999999998,4,3,4,434,11.0,Can't Loose Them
12431,9,173,4303.020000000001,208.79999999999998,-27.0,17.0,4,4,4,444,12.0,Can't Loose Them
12433,2,287,7052.989999999991,122.39999999999999,-152.4,17.0,4,4,4,444,12.0,Can't Loose Them
12434,17,20,297.29,23.8,5.04,15.6,4,2,2,422,8.0,Champions
12435,32,76,6096.040000000003,1008.0,10.08,45.0,3,3,4,334,10.0,Can't Loose Them
12437,29,382,7498.190000000003,234.0,-29.700000000000003,15.9,3,4,4,344,11.0,Can't Loose Them
12439,318,75,1104.48,35.400000000000006,-23.4,15.0,1,3,3,133,7.0,Loyal
12440,93,35,768.1500000000002,80.0,-44.550000000000004,20.0,2,2,3,223,7.0,Loyal
12441,2,11,173.55,23.25,10.5,17.700000000000003,4,1,1,411,6.0,Potential
12443,368,21,485.31000000000006,120.0,7.800000000000001,15.0,1,2,2,122,5.0,Promising
12445,36,21,293.08,30.0,-8.5,15.0,3,2,2,322,7.0,Loyal
12449,46,10,768.6,165.0,25.919999999999998,55.92,3,1,3,313,7.0,Loyal
12450,35,32,469.07,33.0,-14.850000000000001,15.3,3,2,2,322,7.0,Loyal
12451,99,159,3613.0099999999998,106.2,-12.5,17.700000000000003,2,4,4,244,10.0,Can't Loose Them
12454,31,42,4292.709999999999,950.4,-950.4,362.6,3,2,4,324,9.0,Can't Loose Them
12455,81,137,3413.09,350.4,5.04,15.9,2,4,4,244,10.0,Can't Loose Them
12457,53,25,554.53,120.0,-39.8,19.799999999999997,2,2,2,222,6.0,Potential
12458,63,46,830.09,80.0,4.5600000000000005,15.75,2,3,3,233,8.0,Champions
12459,241,23,454.3599999999999,56.0,8.5,17.4,1,2,2,122,5.0,Promising
12460,92,18,326.65,30.0,10.5,18.75,2,1,2,212,5.0,Promising
12466,318,1,56.73,56.73,56.73,56.73,1,1,1,111,3.0,Require Activation
12467,22,18,-2.1316282072803006e-14,23.4,-23.4,0.0,3,1,1,311,5.0,Promising
12468,66,123,2900.5100000000016,270.0,-9.95,15.299999999999999,2,4,4,244,10.0,Can't Loose Them
12469,158,76,3070.539999999998,360.0,8.5,15.6,1,3,4,134,8.0,Champions
12470,325,23,211.95000000000002,20.650000000000002,0.95,7.8,1,2,1,121,4.0,Needs Attention
12471,8,767,19207.689999999984,700.8,-175.2,17.4,4,4,4,444,12.0,Can't Loose Them
12472,5,658,10727.210000000026,126.0,-30.599999999999998,15.0,4,4,4,444,12.0,Can't Loose Them
12474,4,307,4849.980000000003,72.0,-34.0,15.0,4,4,4,444,12.0,Can't Loose Them
12475,45,25,426.26000000000005,35.7,8.5,17.0,3,2,2,322,7.0,Loyal
12476,10,300,7169.039999999999,216.0,-43.9,17.85,4,4,4,444,12.0,Can't Loose Them
12477,35,264,7056.63,177.0,3.3600000000000003,17.700000000000003,3,4,4,344,11.0,Can't Loose Them
12480,35,91,2153.4700000000007,318.0,-14.850000000000001,17.4,3,3,4,334,10.0,Can't Loose Them
12481,1,177,6626.17,306.0,-97.5,27.0,4,4,4,444,12.0,Can't Loose Them
12482,85,207,21893.529999999984,874.84,-874.84,100.8,2,4,4,244,10.0,Can't Loose Them
12483,14,67,2519.7399999999993,177.0,-52.46,35.400000000000006,4,3,4,434,11.0,Can't Loose Them
12484,113,134,1808.5800000000004,133.56,-12.75,9.899999999999999,2,4,4,244,10.0,Can't Loose Them
12485,165,34,708.0999999999999,76.19999999999999,6.3,17.700000000000003,1,2,3,123,6.0,Potential
12486,67,49,1037.2800000000002,120.0,3.8,17.700000000000003,2,3,3,233,8.0,Champions
12487,366,3,259.79999999999995,208.79999999999998,-25.5,76.5,1,1,1,111,3.0,Require Activation
12490,14,218,4400.710000000006,138.24,-5.0,17.4,4,4,4,444,12.0,Can't Loose Them
12492,39,22,452.0000000000001,72.0,6.8,16.650000000000002,3,2,2,322,7.0,Loyal
12494,1,38,604.17,54.0,-8.850000000000001,16.5,4,2,2,422,8.0,Champions
12495,270,19,323.4,80.0,-17.0,17.4,1,2,2,122,5.0,Promising
12496,256,13,54.09,10.2,1.25,3.75,1,1,1,111,3.0,Require Activation
12497,36,44,5168.65,338.0,-36.75,93.28,3,2,4,324,9.0,Can't Loose Them
12499,196,27,393.71999999999997,36.0,6.8,13.52,1,2,2,122,5.0,Promising
12500,71,91,1666.04,127.5,-11.9,12.600000000000001,2,3,4,234,9.0,Can't Loose Them
12503,220,2,1126.0,896.0,230.0,563.0,1,1,3,113,5.0,Promising
12504,53,11,297.00000000000006,52.800000000000004,12.600000000000001,26.400000000000002,2,1,2,212,5.0,Promising
12505,29,46,912.5000000000001,168.0,-19.9,15.899999999999999,3,3,3,333,9.0,Can't Loose Them
12507,220,28,539.2499999999999,84.0,7.800000000000001,15.149999999999999,1,2,2,122,5.0,Promising
12510,95,121,2706.7599999999993,975.11,-751.11,15.299999999999999,2,4,4,244,10.0,Can't Loose Them
12511,50,194,3065.770000000001,88.80000000000001,-9.95,15.12,3,4,4,344,11.0,Can't Loose Them
12514,277,33,580.08,101.88,6.72,15.0,1,2,2,122,5.0,Promising
12516,66,48,1336.5599999999997,180.0,10.2,20.099999999999998,2,3,3,233,8.0,Champions
12519,100,24,354.3500000000001,36.0,-29.700000000000003,15.6,2,2,2,222,6.0,Potential
12523,10,155,2475.280000000002,90.0,-19.9,15.600000000000001,4,4,4,444,12.0,Can't Loose Them
12524,24,98,6605.639999999999,367.2,-19.9,49.5,3,3,4,334,10.0,Can't Loose Them
12525,127,77,835.1799999999995,90.0,-19.9,14.75,2,3,3,233,8.0,Champions
12527,130,14,386.7999999999999,85.0,13.200000000000001,17.2,2,1,2,212,5.0,Promising
12529,158,23,311.78,22.5,-3.45,15.0,1,2,2,122,5.0,Promising
12530,45,94,2066.2300000000005,165.0,-18.0,17.775000000000002,3,3,4,334,10.0,Can't Loose Them
12531,316,116,1773.8299999999995,162.0,-14.850000000000001,14.75,1,4,4,144,9.0,Can't Loose Them
12533,254,90,1149.9899999999993,108.0,-29.849999999999998,15.0,1,3,3,133,7.0,Loyal
12537,44,43,732.9399999999998,120.0,9.95,15.0,3,2,3,323,8.0,Champions
12538,14,13,276.5,52.199999999999996,10.2,17.0,4,1,1,411,6.0,Potential
12539,86,231,5646.399999999998,107.39999999999999,5.04,19.5,2,4,4,244,10.0,Can't Loose Them
12540,14,294,8798.249999999995,232.0,-56.0,19.799999999999997,4,4,4,444,12.0,Can't Loose Them
12542,120,45,423.37999999999994,23.4,-15.9,12.5,2,3,2,232,7.0,Loyal
12543,84,43,980.2500000000002,140.0,7.800000000000001,17.4,2,2,3,223,7.0,Loyal
12547,136,13,175.78,28.0,10.08,13.200000000000001,2,1,1,211,4.0,Needs Attention
12549,211,49,1575.6799999999998,302.40000000000003,4.62,26.400000000000002,1,3,3,133,7.0,Loyal
12553,21,48,896.5700000000002,59.9,-19.9,17.35,3,3,3,333,9.0,Can't Loose Them
12554,84,26,468.49999999999994,84.0,5.04,14.149999999999999,2,2,2,222,6.0,Potential
12555,318,1,129.23,129.23,129.23,129.23,1,1,1,111,3.0,Require Activation
12557,7,25,6725.1799999999985,732.24,27.2,115.5,4,2,4,424,10.0,Can't Loose Them
12562,21,39,1185.1799999999998,153.0,8.5,19.5,3,2,3,323,8.0,Champions
12563,44,13,249.24,45.0,6.8,13.52,3,1,1,311,5.0,Promising
12567,3,195,4278.880000000002,171.8,-14.850000000000001,16.5,4,4,4,444,12.0,Can't Loose Them
12568,280,5,70.0,21.3,10.0,10.5,1,1,1,111,3.0,Require Activation
12570,318,1,77.52,77.52,77.52,77.52,1,1,1,111,3.0,Require Activation
12573,17,91,556.8700000000002,60.839999999999996,0.42,2.95,4,3,2,432,9.0,Can't Loose Them
12575,93,38,622.8199999999999,36.0,6.8,15.0,2,2,2,222,6.0,Potential
12576,28,58,776.8900000000003,80.0,-17.700000000000003,13.05,3,3,3,333,9.0,Can't Loose Them
12577,17,155,995.9500000000006,40.8,0.42,5.0,4,4,3,443,11.0,Can't Loose Them
12578,21,61,1819.0900000000008,216.0,-10.2,20.0,3,3,4,334,10.0,Can't Loose Them
12580,212,34,637.2,54.0,6.3,19.5,1,2,2,122,5.0,Promising
12582,58,81,1469.0400000000004,153.0,5.04,15.299999999999999,2,3,3,233,8.0,Champions
12583,9,220,7157.560000000001,166.6,-8.5,30.0,4,4,4,444,12.0,Can't Loose Them
12586,4,84,1848.7300000000007,119.6,-17.0,17.35,4,3,4,434,11.0,Can't Loose Them
12588,35,38,724.08,80.0,-14.850000000000001,15.225000000000001,3,2,3,323,8.0,Champions
12589,50,177,2447.4900000000007,1055.75,-1055.75,15.299999999999999,3,4,4,344,11.0,Can't Loose Them
12590,137,2,-7.9,-2.95,-4.95,-3.95,2,1,1,211,4.0,Needs Attention
12591,26,43,899.3,112.0,9.899999999999999,16.95,3,2,3,323,8.0,Champions
12592,155,66,715.0200000000002,715.02,-715.02,19.799999999999997,1,3,3,133,7.0,Loyal
12594,14,83,1724.2900000000004,72.0,-17.4,17.700000000000003,4,3,4,434,11.0,Can't Loose Them
12595,140,19,299.02000000000004,30.0,5.04,15.299999999999999,1,2,2,122,5.0,Promising
12598,71,78,1411.9899999999998,106.2,-73.75,17.875,2,3,3,233,8.0,Champions
12599,17,71,1264.14,63.900000000000006,7.800000000000001,15.600000000000001,4,3,3,433,10.0,Can't Loose Them
12600,7,75,2374.7500000000005,108.0,-22.95,19.5,4,3,4,434,11.0,Can't Loose Them
12601,40,6,104.2,30.0,9.95,15.625,3,1,1,311,5.0,Promising
12605,1,79,1225.4499999999994,39.599999999999994,-4.2,13.5,4,3,3,433,10.0,Can't Loose Them
12606,318,1,21.0,21.0,21.0,21.0,1,1,1,111,3.0,Require Activation
12608,40,16,415.78999999999996,162.24,0.95,12.85,3,1,2,312,6.0,Potential
12609,10,116,2291.009999999999,59.400000000000006,-18.0,16.75,4,4,4,444,12.0,Can't Loose Them
12613,24,184,3372.54,126.0,-29.849999999999998,15.0,3,4,4,344,11.0,Can't Loose Them
12615,49,173,3273.6900000000014,108.0,-51.0,17.700000000000003,3,4,4,344,11.0,Can't Loose Them
12616,18,23,388.09999999999997,36.0,-29.700000000000003,17.700000000000003,3,2,2,322,7.0,Loyal
12619,196,10,140.14000000000001,17.4,12.75,13.200000000000001,1,1,1,111,3.0,Require Activation
12621,1,312,10967.240000000002,390.0,-34.0,19.5,4,4,4,444,12.0,Can't Loose Them
12623,52,158,3334.7399999999993,180.0,-72.0,17.700000000000003,3,4,4,344,11.0,Can't Loose Them
12625,145,97,2481.060000000001,126.0,5.04,19.9,1,3,4,134,8.0,Champions
12629,21,45,1558.2199999999998,240.0,7.800000000000001,13.200000000000001,3,3,3,333,9.0,Can't Loose Them
12631,67,155,2811.7699999999986,79.6,-22.5,17.0,2,4,4,244,10.0,Can't Loose Them
12632,156,38,738.8799999999999,70.80000000000001,-36.0,15.0,1,2,3,123,6.0,Potential
12633,18,210,3454.58,180.0,-29.95,15.299999999999999,3,4,4,344,11.0,Can't Loose Them
12634,171,20,490.0,130.0,13.200000000000001,16.349999999999998,1,2,2,122,5.0,Promising
12635,28,78,1241.23,72.0,5.04,15.0,3,3,3,333,9.0,Can't Loose Them
12636,374,1,141.0,141.0,141.0,141.0,1,1,1,111,3.0,Require Activation
12637,14,245,2318.410000000002,59.9,0.55,5.85,4,4,4,444,12.0,Can't Loose Them
12638,275,9,249.79999999999995,80.0,10.2,15.0,1,1,1,111,3.0,Require Activation
12639,70,42,826.2699999999999,80.0,5.04,17.700000000000003,2,2,3,223,7.0,Loyal
12643,21,32,4536.259999999999,734.4,-228.0,102.0,3,2,4,324,9.0,Can't Loose Them
12644,66,92,1337.6300000000008,70.80000000000001,-44.550000000000004,15.0,2,3,3,233,8.0,Champions
12645,45,89,1743.7200000000005,59.400000000000006,-10.2,17.700000000000003,3,3,4,334,10.0,Can't Loose Them
12647,3,446,14012.870000000008,571.35,-36.0,17.700000000000003,4,4,4,444,12.0,Can't Loose Them
12648,70,45,778.95,40.8,-15.0,16.35,2,3,3,233,8.0,Champions
12649,1,91,1634.99,79.19999999999999,-9.899999999999999,14.399999999999999,4,3,3,433,10.0,Can't Loose Them
12651,14,23,251.29999999999995,19.799999999999997,-9.9,10.2,4,2,1,421,7.0,Loyal
12652,70,3,97.05000000000001,50.400000000000006,14.850000000000001,31.8,2,1,1,211,4.0,Needs Attention
12653,162,43,1950.98,197.1,8.5,30.0,1,2,4,124,7.0,Loyal
12655,59,16,261.35,20.1,9.95,16.5,2,1,1,211,4.0,Needs Attention
12656,61,123,2338.0600000000004,127.5,-14.850000000000001,15.299999999999999,2,4,4,244,10.0,Can't Loose Them
12661,72,11,162.00000000000003,17.4,13.200000000000001,13.200000000000001,2,1,1,211,4.0,Needs Attention
12662,9,179,3132.0900000000006,54.0,-2.95,17.0,4,4,4,444,12.0,Can't Loose Them
12663,260,11,204.0,52.800000000000004,-35.400000000000006,15.0,1,1,1,111,3.0,Require Activation
12664,150,8,1188.16,244.08,80.0,135.0,1,1,3,113,5.0,Promising
12665,53,17,239.7,30.599999999999998,-6.25,15.299999999999999,2,1,1,211,4.0,Needs Attention
12666,30,31,1248.42,202.5,12.5,16.95,3,2,3,323,8.0,Champions
12668,14,378,7637.529999999998,234.0,2.5,16.2,4,4,4,444,12.0,Can't Loose Them
12670,21,23,764.2400000000001,79.6,10.08,35.400000000000006,3,2,3,323,8.0,Champions
12671,242,45,2622.481000000001,204.0,0.001,50.88,1,3,4,134,8.0,Champions
12672,225,15,184.60000000000005,30.0,-17.85,15.0,1,1,1,111,3.0,Require Activation
12673,37,32,619.5000000000001,59.4,8.5,15.600000000000001,3,2,2,322,7.0,Loyal
12675,189,115,934.8000000000002,84.0,-12.75,5.9,1,4,3,143,8.0,Champions
12676,44,63,1441.7,120.0,-70.0,19.799999999999997,3,3,3,333,9.0,Can't Loose Them
12677,191,23,389.3,47.7,-4.95,16.5,1,2,2,122,5.0,Promising
12678,11,214,16262.87,630.0,-153.0,60.0,4,4,4,444,12.0,Can't Loose Them
12681,3,848,16874.170000000024,126.0,-59.400000000000006,15.299999999999999,4,4,4,444,12.0,Can't Loose Them
12682,1,517,11657.590000000007,124.95,-49.75,17.0,4,4,4,444,12.0,Can't Loose Them
12683,1,199,4197.51,102.0,-12.75,17.4,4,4,4,444,12.0,Can't Loose Them
12686,7,7,89.14,18.0,8.5,10.08,4,1,1,411,6.0,Potential
12687,116,126,2138.9100000000003,280.0,6.72,15.0,2,4,4,244,10.0,Can't Loose Them
12691,56,7,134.6,23.4,15.299999999999999,18.0,2,1,1,211,4.0,Needs Attention
12692,273,13,110.95,31.75,0.95,7.5,1,1,1,111,3.0,Require Activation
12693,32,42,809.46,91.80000000000001,-19.8,17.0,3,2,3,323,8.0,Champions
12694,51,47,969.7800000000003,72.0,-3.9,17.0,3,3,3,333,9.0,Can't Loose Them
12695,164,32,825.0200000000002,61.199999999999996,12.5,21.6,1,2,3,123,6.0,Potential
12696,70,50,801.15,80.0,-50.76,15.0,2,3,3,233,8.0,Champions
12698,226,16,339.75000000000006,54.0,10.5,18.75,1,1,2,112,4.0,Needs Attention
12699,53,41,638.1100000000001,72.0,4.5600000000000005,15.0,2,2,2,222,6.0,Potential
12701,165,94,1648.7000000000005,39.6,5.04,17.2,1,3,4,134,8.0,Champions
12703,269,62,617.4799999999998,54.0,-19.8,10.575,1,3,2,132,6.0,Potential
12705,10,278,4739.760000000001,90.0,-29.700000000000003,15.0,4,4,4,444,12.0,Can't Loose Them
12706,318,1,-91.89,-91.89,-91.89,-91.89,1,1,1,111,3.0,Require Activation
12708,4,162,2501.8400000000006,72.0,-29.700000000000003,15.0,4,4,4,444,12.0,Can't Loose Them
12709,2,331,21018.50999999999,598.8,-54.75,42.0,4,4,4,444,12.0,Can't Loose Them
12711,247,60,1339.0499999999993,79.19999999999999,5.04,18.6,1,3,3,133,7.0,Loyal
12712,1,152,2738.029999999999,68.0,-12.75,15.299999999999999,4,4,4,444,12.0,Can't Loose Them
12714,24,437,9384.850000000004,180.0,2.2800000000000002,15.9,3,4,4,344,11.0,Can't Loose Them
12717,226,16,277.93,50.0,12.5,15.45,1,1,1,111,3.0,Require Activation
12720,5,174,2334.5999999999995,108.0,-18.15,13.52,4,4,4,444,12.0,Can't Loose Them
12721,1,90,1277.6999999999994,72.0,-19.9,15.299999999999999,4,3,3,433,10.0,Can't Loose Them
12724,19,76,1286.11,54.0,7.56,16.5,3,3,3,333,9.0,Can't Loose Them
12725,7,106,2266.7600000000007,220.0,4.5600000000000005,15.9,4,4,4,444,12.0,Can't Loose Them
12726,23,55,1405.5000000000002,60.0,10.08,20.4,3,3,3,333,9.0,Can't Loose Them
12727,78,64,1698.8300000000006,91.80000000000001,5.04,17.700000000000003,2,3,4,234,9.0,Can't Loose Them
12728,19,15,233.84,36.0,5.04,13.5,3,1,1,311,5.0,Promising
12730,157,47,829.2500000000001,126.0,9.899999999999999,15.0,1,3,3,133,7.0,Loyal
12731,78,119,6879.800000000001,237.60000000000002,5.04,40.8,2,4,4,244,10.0,Can't Loose Them
12733,25,140,1942.87,90.0,-25.5,10.2,3,4,4,344,11.0,Can't Loose Them
12734,10,15,529.25,232.50000000000003,15.0,17.0,4,1,2,412,7.0,Loyal
12737,134,2,3710.5,3610.5,100.0,1855.25,2,1,4,214,7.0,Loyal
12738,8,11,155.35,19.799999999999997,9.95,13.200000000000001,4,1,1,411,6.0,Potential
12739,21,51,1713.6899999999996,253.0,6.959999999999999,19.799999999999997,3,3,4,334,10.0,Can't Loose Them
12741,165,16,406.07000000000005,170.0,10.08,15.0,1,1,2,112,4.0,Needs Attention
12742,235,68,1185.02,60.48,-16.5,15.6,1,3,3,133,7.0,Loyal
12744,95,117,4037.77,700.8,5.04,23.8,2,4,4,244,10.0,Can't Loose Them
12745,122,23,925.4100000000002,201.56,10.08,31.2,2,2,3,223,7.0,Loyal
12746,163,20,230.85,17.700000000000003,-11.8,14.850000000000001,1,2,1,121,4.0,Needs Attention
12747,5,162,4968.580000000002,381.6,-31.8,17.85,4,4,4,444,12.0,Can't Loose Them
12748,1,2665,20898.030000000108,800.0,-547.3,3.75,4,4,4,444,12.0,Can't Loose Them
12749,21,167,2460.2899999999995,59.849999999999994,-38.25,15.9,3,4,4,344,11.0,Can't Loose Them
12751,80,62,268.27,17.700000000000003,0.55,2.7750000000000004,2,3,1,231,6.0,Potential
12755,1,111,4203.15,3794.3999999999996,-96.0,1.25,4,4,4,444,12.0,Can't Loose Them
12758,95,220,6987.409999999999,367.20000000000005,-58.5,21.0,2,4,4,244,10.0,Can't Loose Them
12759,22,207,3489.299999999997,75.0,6.8,15.299999999999999,3,4,4,344,11.0,Can't Loose Them
12760,91,21,347.8,30.0,5.04,15.6,2,2,2,222,6.0,Potential
12761,93,27,782.95,76.5,10.2,23.4,2,2,3,223,7.0,Loyal
12763,5,16,320.08,60.0,5.04,15.299999999999999,4,1,2,412,7.0,Loyal
12765,108,68,1404.58,99.0,5.04,18.599999999999998,2,3,3,233,8.0,Champions
12766,2,149,3036.8,168.0,-20.0,15.299999999999999,4,4,4,444,12.0,Can't Loose Them
12767,11,43,949.8199999999999,100.80000000000001,2.88,17.700000000000003,4,2,3,423,9.0,Can't Loose Them
12768,67,20,2.1316282072803006e-14,19.8,-19.8,0.0,2,2,1,221,5.0,Promising
12770,35,25,1624.5,159.0,-102.0,102.0,3,2,3,323,8.0,Champions
12771,100,16,262.5,56.0,-19.8,16.0,2,1,1,211,4.0,Needs Attention
12773,200,12,-1.7763568394002505e-15,87.0,-87.0,0.0,1,1,1,111,3.0,Require Activation
12774,171,6,98.7,21.0,10.2,16.35,1,1,1,111,3.0,Require Activation
12775,24,15,300.08,47.2,7.56,16.5,3,1,2,312,6.0,Potential
12776,303,4,55.5,28.0,8.5,9.5,1,1,1,111,3.0,Require Activation
12777,93,26,519.4499999999999,31.5,10.2,17.4,2,2,2,222,6.0,Potential
12778,32,64,953.4499999999999,60.0,5.04,13.200000000000001,3,3,3,333,9.0,Can't Loose Them
12779,7,136,2538.0599999999995,81.6,-46.8,17.700000000000003,4,4,4,444,12.0,Can't Loose Them
12780,234,20,337.39999999999986,39.8,5.04,15.0,1,2,2,122,5.0,Promising
12782,10,134,2252.7199999999993,112.0,-11.8,15.299999999999999,4,4,4,444,12.0,Can't Loose Them
12784,165,72,1230.3300000000004,196.0,7.800000000000001,15.0,1,3,3,133,7.0,Loyal
12785,171,43,773.5999999999999,84.0,-14.850000000000001,15.299999999999999,1,2,3,123,6.0,Potential
12786,245,18,728.4999999999999,70.80000000000001,12.600000000000001,43.05,1,1,3,113,5.0,Promising
12787,49,25,395.52000000000004,30.599999999999998,-3.0,16.5,3,2,2,322,7.0,Loyal
12788,99,26,444.90000000000003,30.599999999999998,9.899999999999999,16.5,2,2,2,222,6.0,Potential
12789,148,4,181.5,74.25,15.0,46.125,1,1,1,111,3.0,Require Activation
12790,43,19,238.53,35.7,-19.9,13.52,3,2,1,321,6.0,Potential
12791,9,30,585.1500000000001,177.60000000000002,-146.68,15.0,4,2,2,422,8.0,Champions
12792,170,23,413.34,56.0,-13.13,15.299999999999999,1,2,2,122,5.0,Promising
12793,7,27,471.85,56.0,8.5,16.5,4,2,2,422,8.0,Champions
12796,264,7,381.0,58.5,30.0,58.5,1,1,2,112,4.0,Needs Attention
12797,1,32,531.28,56.0,-14.850000000000001,15.0,4,2,2,422,8.0,Champions
12798,57,25,1533.8899999999996,280.8,0.85,5.04,2,2,3,223,7.0,Loyal
